chave_coluna_lista,nivel_linha,campo_api_frontend,campo_prisma_pedido,campo_prisma_item,campo_propagacao_pai,tabela_postgres,tipo_prisma,tipo_comportamento_lista,grupo_coluna_lista,label_cabecalho_tela,tooltip_titulo_tela,armazenamento_banco,back_patch_campo,origem_dado
,item,,,data_confirmacao_aprovacao_rascunho_proforma_item,data_confirmacao_aprovacao_rascunho_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_confirmacao_aprovacao_rascunho_proforma_item,somente_prisma
,item,,,data_confirmacao_envio_original_invoice_item,data_confirmacao_envio_original_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_confirmacao_envio_original_invoice_item,somente_prisma
,item,,,data_confirmacao_envio_original_proforma_item,data_confirmacao_envio_original_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_confirmacao_envio_original_proforma_item,somente_prisma
,item,,,data_confirmacao_recebimento_original_invoice_item,data_confirmacao_recebimento_original_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_confirmacao_recebimento_original_invoice_item,somente_prisma
,item,,,data_confirmacao_recebimento_original_proforma_item,data_confirmacao_recebimento_original_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_confirmacao_recebimento_original_proforma_item,somente_prisma
,item,,,data_confirmacao_recebimento_rascunho_invoice_item,data_confirmacao_recebimento_rascunho_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_confirmacao_recebimento_rascunho_invoice_item,somente_prisma
,item,,,data_confirmacao_recebimento_rascunho_item,data_confirmacao_recebimento_rascunho_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_confirmacao_recebimento_rascunho_item,somente_prisma
,item,,,data_confirmacao_recebimento_rascunho_proforma_item,data_confirmacao_recebimento_rascunho_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_confirmacao_recebimento_rascunho_proforma_item,somente_prisma
data_confirmada_aprovacao_draft_cert_origem,item,data_confirmada_aprovacao_draft_cert_origem,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_aprovacao_draft_cert_origem,lista_gtv
data_confirmada_aprovacao_draft_lpco,item,data_confirmada_aprovacao_draft_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_aprovacao_draft_lpco,lista_gtv
,item,,,data_confirmada_coleta_item,data_confirmada_coleta_pedido,pedido_item,DateTime,,,Data Confirmada — Coleta (Item),,coluna_prisma_sem_lista,data_confirmada_coleta_item,somente_prisma
data_confirmada_conferencia_draft_lpco,item,data_confirmada_conferencia_draft_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_conferencia_draft_lpco,lista_gtv
data_confirmada_deferimento_lpco,item,data_confirmada_deferimento_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_deferimento_lpco,lista_gtv
data_confirmada_envio_original_cert_origem,item,data_confirmada_envio_original_cert_origem,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_envio_original_cert_origem,lista_gtv
data_confirmada_exigencia_lpco,item,data_confirmada_exigencia_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_exigencia_lpco,lista_gtv
