Nome do componente,Nome do componente - DDD,Categoria (pasta),Qtd props detectados,Tipo (Modal/Form/Display/...),Usado por (produtos/servicos),Qtd usos,Arquivo,Status DDD,Observacoes
main,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabela-virtual-global/demo/src/main.tsx,,
IconeExport,,,1,ComponenteDSL,,0,nucleo-global/Tabelas/tabela-virtual-global/src/BotaoCompletoExportar.tsx,,
TabelaVirtualGlobal,,,20,ComponenteDSL,pedido | processo | simula-custo,3,nucleo-global/Tabelas/tabela-virtual-global/src/TabelaVirtualGlobal.tsx,,
App,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/select-colunas-global/demo/src/App.tsx,,
main,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/select-colunas-global/demo/src/main.tsx,,
IcoLupa,,,9,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/select-colunas-global/src/SelectColunasGlobal.tsx,,
IconeChevron,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/tabela-camadas-global/src/TabelaCamadasGlobal.tsx,,
App,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/tabela-global/demo/src/App.tsx,,
main,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/tabela-global/demo/src/main.tsx,,
handleOrdenar,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/tabela-global/src/cabecalho.tsx,,
BadgeCelula,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/tabela-global/src/celula.tsx,,
VisibilidadeColunasGlobal,,,9,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/tabela-global/src/componentes/VisibilidadeColunasGlobal.tsx,,
PopoverFiltro,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/tabela-global/src/tabela.tsx,,
App,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/tabela-virtual-global/demo/src/App.tsx,,
main,,,0,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/tabela-virtual-global/demo/src/main.tsx,,
IconeExport,,,1,ComponenteDSL,,0,nucleo-global/Tabelas/tabelas-componentes/tabela-virtual-global/src/BotaoCompletoExportar.tsx,,
TabelaVirtualGlobal,,,19,ComponenteDSL,pedido | processo | simula-custo,3,nucleo-global/Tabelas/tabelas-componentes/tabela-virtual-global/src/TabelaVirtualGlobal.tsx,,
PaginaDashboardGlobal,,,0,ComponenteDSL,,0,nucleo-global/Templates/pagina-dashboard-global/src/PaginaDashboardGlobal.tsx,,
PaginaFormularioGlobal,,,0,ComponenteDSL,,0,nucleo-global/Templates/pagina-formulario-global/src/PaginaFormularioGlobal.tsx,,
PaginaTabelaGlobal,,,0,ComponenteDSL,,0,nucleo-global/Templates/pagina-tabela-global/src/PaginaTabelaGlobal.tsx,,
I18nProvider,,,1,ComponenteDSL,,0,nucleo-global/Utilidades/Localization/provider.tsx,,
